ID,alphaSGT,pref,sex,simParDist,simFriDist,out
PP9000,0.036797169,0,1,0.9253665,0.8875722,0
PP9001,0.6755337,1,1,0.5710229,0.2910863,0
PP9002,0.3707466,0,1,0.4797102,0.1692442,0
PP9003,0.35894945,0,0,0.4731077,0.1401116,0
PP9004,1,1,1,0.4576212,0.3197805,0
PP9005,0.7483412,1,1,0.03668562,0.435534,0
PP9006,0.0000001,0,0,0.40285168,0.34528521,0
PP9007,1,1,0,0.9548282,0.3623777,0
PP9008,0.6138874,1,1,0.2600511,0.61211,0
PP9009,0.6744051,1,0,0.1290499,0.2947547,0
PP9010,0.172282523,0,0,0.8631744,0.6944766,0
PP9011,0.9174529,1,1,0.7619633,0.524273,0
PP9012,0.2631617,0,0,0.3528075,0.1926663,0
PP9013,0.4416691,0,1,0.2041472,0.2802312,0
PP9014,0.79663859,1,0,1.1554451,0.4209946,0
PP9015,0.3177885,0,1,0.1528409,0.4655021,0
PP9016,0.5904858,1,1,0.2639241,0.3201025,0
PP9017,1,1,0,0.1554302,0.1919483,0
PP9018,0.5831827,1,1,0.2023181,0.6893142,0
PP9019,0.9592354,1,1,0.3734136,0.185767,1
PP9020,0.5962996,1,1,0.1589458,0.4438364,0
PP9021,0.4473377,0,0,0.3197545,0.4335729,0
PP9022,0.6813039,1,0,0.62811591,0.57710799,0
PP9023,0.4669534,0,1,0.0854766,0.709628,0
PP9024,0.6296867,1,1,0.08737491,0.34298779,0
PP9025,0.542509,1,1,0.9818756,0.679354,0
PP9026,0.4472025,0,1,0.09775832,0.34060278,0
PP9027,0.34696889,0,1,0.5894065,0.5533061,0
PP9028,1,1,1,0.2771054,0.2677677,1
PP9029,0.4367862,0,1,0.8915738,0.5076508,0
PP9030,0.07072822,0,1,1.2861704,0.7511002,0
PP9031,0.7871077,1,1,0.2380815,0.6173709,0
PP9032,0.70379545,1,0,1.3985048,0.4198623,0
PP9033,0.4580579,0,0,0.6631271,0.8197418,0
PP9034,0.035688274,0,1,0.3421635,0.1993668,0
PP9035,0.53126569,1,1,0.2149007,0.5454884,0
PP9036,0.49042217,0,1,0.657789,0.1310391,0
PP9037,0.67880675,1,1,0.2221099,0.2828565,0
PP9038,0.6024933,1,1,0.8985005,1.4058777,0
PP9039,0.000413187,0,1,0.3355672,0.1383128,0
PP9040,0.7487659,1,1,0.3116839,0.1460362,0
PP9041,0.06467159,0,0,0.8989978,1.578802,0
PP9042,0.5073723,1,0,0.477693,0.2971726,0
PP9043,0.4303315,0,0,0.2236023,0.1881697,0
PP9044,0.53521309,1,1,0.5237354,0.7649754,0
PP9045,0.5398837,1,0,0.476017,0.4221522,0
PP9046,0.6992534,1,1,0.1159317,0.2957943,0
PP9047,0.44923556,0,1,0.4023583,0.2314879,0
PP9048,0.0806999,0,1,0.4790512,0.1564338,0
